yearmo;SENT;SENT_ORTH;pdnd;ripo;nipo;cefd;s;indpro;consdur;consnon;consserv;recess;employ;cpi
196707;-1.035;-0.906;-15.81999969;35.09999847;7;14.64999962;0.090000004;34.59180069;74.40000153;183.6999969;248.6000061;0;65888;33.40000153
196708;-1.020;-0.931;-16.86000061;53.79999924;12;13.31999969;0.090000004;35.25450134;73.59999847;185.8000031;250.3999939;0;66143;33.5
196709;-0.922;-0.705;-18.81999969;36.70000076;9;11.88000011;0.100000001;35.19720078;76;187.8000031;251.6999969;0;66164;33.59999847
196710;-1.043;-0.858;-23.36000061;27.60000038;12;10.25;0.109999999;35.48389816;74.09999847;185.1000061;252.8999939;0;66225;33.70000076
196711;-0.694;-0.530;-21.95000076;47.70000076;14;7.320000172;0.109999999;35.99140167;75.09999847;187.8000031;254.5;0;66703;33.79999924
196712;-0.368;-0.249;-27.20000076;103.8000031;11;2.099999905;0.109999999;36.37900162;77.69999695;190.6999969;256.7999878;0;66900;33.90000153
196801;-0.202;-0.088;-20.26000023;63.90000153;15;0.939999998;0.119999997;36.33990097;79.69999695;191.3000031;259.8999939;0;66804;34.09999847
196802;0.018;0.173;-14.43999958;32.09999847;14;-3.109999895;0.129999995;36.4701004;79.5;193;261.2000122;0;67215;34.20000076
196803;-0.047;-0.003;-14.88000011;39.40000153;21;-0.280000001;0.140000001;36.58390045;83.40000153;196.3999939;264.6000061;0;67295;34.29999924
196804;-0.158;-0.124;-23.32999992;56;18;2.190000057;0.150000006;36.63690186;81.40000153;195.8000031;266.7999878;0;67556;34.40000153
196805;0.110;-0.085;-28.5;96;28;0.419999987;0.150000006;37.04779816;84;197.3000031;268.5;0;67652;34.5
196806;0.291;0.058;-27.26000023;75.59999847;23;0.639999986;0.150000006;37.18389893;83.80000305;200.3000031;272.2000122;0;67905;34.70000076
196807;0.520;0.317;-26.26000023;60.59999847;30;-0.74000001;0.159999996;37.12689972;86.90000153;202.6000061;273.7000122;0;68126;34.90000153
196808;0.662;0.611;-26.72999954;45.59999847;24;1.549999952;0.180000007;37.23049927;87.59999847;203.6999969;275.6000061;0;68330;35
196809;0.848;0.795;-29.10000038;67.59999847;29;0.310000002;0.189999998;37.37149811;88.09999847;202.1999969;277.8999939;0;68484;35.09999847
196810;1.275;1.251;-26.64999962;36.59999847;53;-4.070000172;0.189999998;37.4457016;88.09999847;203.5;280;0;68721;35.29999924
196811;1.365;1.310;-28.68000031;53.40000153;52;-3.24000001;0.200000003;37.93009949;87.5;207;282.2999878;0;68984;35.40000153
196812;2.123;2.103;-33.79000092;43.5;61;-10.90999985;0.209999993;38.04990005;87.90000153;204.5;284.2000122;0;69248;35.5
196901;2.001;1.958;-31.23999977;37;68;-9.420000076;0.209999993;38.28010178;90.09999847;207.3000031;286.1000061;0;69439;35.59999847
196902;1.923;1.799;-23.11000061;20.39999962;54;-9.909999847;0.230000004;38.52500153;90.80000305;209.3000031;288.6000061;0;69699;35.79999924
196903;1.978;1.951;-22.72999954;12;88;-8.909999847;0.239999995;38.82709885;89.09999847;209.8999939;289.7999878;0;69905;36.09999847
