Date;Stocks;Return
1893.1;641.55;0.02105615
1893.11;671.94;0.047369652
1893.12;660.28;-0.01735274
1894.01;667.94;0.011601139
1894.02;689.93;0.032922119
1894.03;734.24;0.064223907
1894.04;747.22;0.017678143
1894.05;722.6;-0.032948797
1894.06;715.9;-0.009272073
1894.07;704.17;-0.01638497
1894.08;713.09;0.012667396
1894.09;717.27;0.005861813
1894.1;717.69;0.000585554
1894.11;720.62;0.004082543
1894.12;727.28;0.009242042
1895.01;721.76;-0.007589924
1895.02;714.49;-0.0100726
1895.03;717.41;0.004086831
1895.04;719.83;0.003373245
1895.05;751.69;0.04426045
1895.06;758.69;0.00931235
1895.07;775.06;0.021576665
1895.08;800.21;0.032449101
1895.09;807.94;0.009659964
1895.1;798.9;-0.01118895
1895.11;774.68;-0.030316685
1895.12;742.09;-0.042068983
1896.01;746.72;0.006239135
1896.02;792.26;0.060986715
1896.03;782.58;-0.012218211
1896.04;804.17;0.027588234
1896.05;815.33;0.013877663
1896.06;815.54;0.000257564
1896.07;765.58;-0.061260024
1896.08;724.89;-0.053149246
1896.09;765.83;0.056477535
1896.1;762.8;-0.003956492
1896.11;794.33;0.041334557
1896.12;768.03;-0.033109665
1897.01;793.43;0.033071625
1897.02;788.73;-0.005923648
1897.03;793.45;0.005984304
1897.04;783.19;-0.012930872
1897.05;801.91;0.023902246
1897.06;842.2;0.050242546
1897.07;882.64;0.048017098
1897.08;902;0.021934197
1897.09;921.8;0.02195122
1897.1;907.75;-0.015241918
1897.11;878.56;-0.032156431
1897.12;900.29;0.024733655
1898.01;927.79;0.030545713
1898.02;915.72;-0.013009409
1898.03;877.25;-0.042010658
1898.04;865.09;-0.013861499
1898.05;864;-0.001259985
1898.06;963.94;0.115671296
1898.07;984.66;0.021495114
1898.08;1,024.61;0.04057238
1898.09;1,025.83;0.001190697
1898.1;1,007.57;-0.01780022
1898.11;1,044.06;0.036215846
1898.12;1,096.43;0.050159952
1899.01;1,183.13;0.079074816
1899.02;1,197.42;0.012078132
1899.03;1,217.70;0.016936413
1899.04;1,219.45;0.001437136
1899.05;1,171.84;-0.039042191
1899.06;1,133.33;-0.032862848
1899.07;1,160.27;0.023770658
1899.08;1,177.52;0.014867229
1899.09;1,124.08;-0.045383518
1899.1;1,108.00;-0.014305032
1899.11;1,118.22;0.009223827
1899.12;1,032.49;-0.076666488
1900.01;1,049.32;0.0163004
1900.02;1,058.71;0.008948652
1900.03;1,070.54;0.011173976
1900.04;1,087.64;0.015973247
1900.05;1,065.07;-0.020751352
1900.06;1,049.88;-0.014261973
1900.07;1,040.95;-0.008505734
1900.08;1,072.24;0.030059081
1900.09;1,038.32;-0.031634709
1900.1;1,093.50;0.05314354
1900.11;1,183.45;0.082258802
1900.12;1,274.98;0.077341671
1901.01;1,300.51;0.020023844
1901.02;1,355.00;0.041898947
1901.03;1,408.34;0.039365314
1901.04;1,550.66;0.101055143
1901.05;1,477.45;-0.047212155
1901.06;1,629.56;0.102954415
1901.07;1,506.20;-0.075701416
1901.08;1,513.14;0.004607622
1901.09;1,492.13;-0.013885034
1901.1;1,480.26;-0.007955071
1901.11;1,498.76;0.012497804
1901.12;1,461.98;-0.024540287
1902.01;1,516.21;0.037093531
1902.02;1,534.28;0.011917874
1902.03;1,541.19;0.004503741
1902.04;1,579.85;0.025084513
1902.05;1,562.55;-0.010950407
