Date;Value Returns;Momentum Returns;Value-Momentum Spread;Value 12M Returns;Momentum 12M Returns;Value-Momentum 12M Spread;Value 36M Returns;Momentum 36M Returns;Value-Momentum 36M Spread;Rolling Value Mean;Rolling Momentum Mean;Rolling Mean Difference;Value Volatility;Momentum Volatility;Volatility Difference;Value Skewness;Momentum Skewness;Skewness Difference;Value Excess Curtosis;Momentum Excess Kurtosis;Kurtosis Difference;Correlation;Value Drawdown;Momentum Drawdown;Drawdown Difference;Regime;;
31.07.1929;0.022014584;-0.014174882;0.036189467;-0.056956146;0.136908801;-0.193864948;-0.152639556;0.358239028;-0.510878584;-0.004754337;0.01083243;-0.015586767;0.016142651;0.013472759;0.002669892;-0.535497982;0.011869049;-0.547367031;0.2211089;-0.301340624;0.522449524;-0.76772989;-0.193457342;-0.014174882;-0.17928246;0;;
30.08.1929;-0.011494247;0.026836787;-0.038331034;-0.056693225;0.147073419;-0.203766644;-0.161613845;0.361214788;-0.522828634;-0.004731377;0.011590693;-0.01632207;0.016131958;0.014136432;0.001995526;-0.54067116;-0.037440977;-0.503230183;0.23599062;-0.722781476;0.958772096;-0.755944182;-0.202727943;0;-0.202727943;1;;
30.09.1929;0.00549555;0.01334524;-0.00784969;-0.052949845;0.15307344;-0.206023285;-0.165902083;0.363363059;-0.529265142;-0.004400177;0.012030105;-0.016430283;0.016311793;0.014099027;0.002212766;-0.575350089;-0.148071882;-0.427278207;0.13496212;-0.671522839;0.806484958;-0.734494904;-0.198346494;0;-0.198346494;1;;
31.10.1929;0.045954926;-0.026458436;0.072413362;0.002937829;0.111146415;-0.108208586;-0.138913192;0.310046269;-0.448959461;0.000456886;0.008968875;-0.008511989;0.021566988;0.017970801;0.003596187;0.319309612;-0.523410453;0.842720064;1.062736477;-0.262715539;1.325452015;-0.851842677;-0.161506567;-0.026458436;-0.135048131;0;;
29.11.1929;0.025757254;-0.019576687;0.045333941;0.023313523;0.059927343;-0.036613821;-0.1302376;0.274885778;-0.405123378;0.002158915;0.005020776;-0.002861861;0.022759723;0.018648948;0.004110775;0.150710391;-0.197364604;0.348074995;0.192513268;-0.792131444;0.984644712;-0.934930483;-0.139909279;-0.045517155;-0.094392124;0;;
31.12.1929;-0.025692785;0.02883702;-0.054529805;0.004926608;0.077210647;-0.072284039;-0.137669353;0.279819725;-0.417489078;0.000673359;0.006396374;-0.005723016;0.024020424;0.019809776;0.004210648;0.189028562;-0.230995083;0.420023645;-0.319440908;-1.118877039;0.799436131;-0.941994653;-0.162007404;-0.017992714;-0.144014691;1;;
31.01.1930;0.003495064;-0.02159159;0.025086654;0.044662971;0.021019627;0.023643344;-0.14545597;0.241586657;-0.387042627;0.003854229;0.001909212;0.001945016;0.02128551;0.019516369;0.001769141;0.229203203;0.026571877;0.202631327;0.360133654;-1.278500167;1.63863382;-0.858781943;-0.159078567;-0.039195812;-0.119882754;0;;
28.02.1930;0.007573849;-0.012250658;0.019824507;0.045658066;0.006104364;0.039553703;-0.152709555;0.226352963;-0.379062517;0.003934133;0.000688949;0.003245184;0.021298612;0.019936661;0.001361951;0.21561805;0.206485387;0.009132663;0.344615224;-1.429428743;1.774043967;-0.851471819;-0.152709555;-0.050966296;-0.101743259;0;;
31.03.1930;-0.004203015;0.001949454;-0.006152468;0.042676745;0.00860911;0.034067635;-0.129207081;0.18657718;-0.315784261;0.00369686;0.0008963;0.00280056;0.021378609;0.019935671;0.001442939;0.248800678;0.16912419;0.079676488;0.296843714;-1.440199637;1.737043351;-0.851774962;-0.156270729;-0.049116199;-0.107154531;1;;
30.04.1930;-0.007061022;0.005506719;-0.012567741;0.037897307;0.012935497;0.024961811;-0.118028871;0.169628849;-0.28765772;0.003315826;0.001254188;0.002061638;0.021539022;0.019980354;0.001558668;0.295967218;0.104841193;0.191126026;0.205011887;-1.477058928;1.682070815;-0.853259615;-0.16222832;-0.043879949;-0.118348371;1;;
30.05.1930;-0.003094365;0.002791823;-0.005886188;0.02583361;0.009722665;0.016110945;-0.098550167;0.181713417;-0.280263584;0.002338867;0.00098829;0.001350577;0.021541988;0.019932883;0.001609106;0.454720747;0.152211844;0.302508902;0.301082393;-1.443232789;1.744315182;-0.86323969;-0.164820691;-0.041210631;-0.12361006;1;;
30.06.1930;-0.006546559;0.019059408;-0.025605967;0.051373426;0.002262411;0.049111015;-0.086597576;0.213549303;-0.300146879;0.004349936;0.000356183;0.003993753;0.019175843;0.019150214;2.56287E-05;0.811671448;0.11985782;0.691813628;0.885649317;-1.364321525;2.249970842;-0.835649758;-0.170288242;-0.022936674;-0.147351568;1;;
31.07.1930;-0.006536446;-0.011470515;0.004934069;0.022002226;0.00501187;0.016990356;-0.08452953;0.183802026;-0.268331556;0.001970684;0.000581547;0.001389137;0.018545732;0.018978809;-0.000433077;1.245523781;0.102949886;1.142573896;2.2295664;-1.305507072;3.535073472;-0.770632197;-0.175711608;-0.034144093;-0.141567515;0;;
29.08.1930;-0.021239904;0.00341534;-0.024655244;0.011926328;-0.017911765;0.029838094;-0.096860189;0.194028183;-0.290888372;0.001158546;-0.00137024;0.002528786;0.019383447;0.017149414;0.002234033;1.091107664;0.160215041;0.930892623;1.748225581;-0.836946315;2.585171896;-0.742488143;-0.193219415;-0.030845367;-0.162374048;1;;
30.09.1930;0.005374219;0.046837186;-0.041462967;0.011804221;0.014547109;-0.002742888;-0.099638034;0.274243046;-0.37388108;0.001148435;0.001420755;-0.000272321;0.01938101;0.021844619;-0.002463608;1.093297552;0.753942001;0.339355552;1.754383625;0.158928735;1.59545489;-0.552966786;-0.188883599;0;-0.188883599;1;;
